gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,math score_outlier
female,group B,bachelor's degree,standard,none,72.0,72,74,0
female,group C,some college,standard,completed,69.0,90,88,0
female,group B,master's degree,standard,none,90.0,95,93,0
male,group A,associate's degree,free/reduced,none,47.0,57,44,0
male,group C,some college,standard,none,76.0,78,75,0
female,group B,associate's degree,standard,none,71.0,83,78,0
female,group B,some college,standard,completed,88.0,95,92,0
male,group B,some college,free/reduced,none,40.0,43,39,0
male,group D,high school,free/reduced,completed,64.0,64,67,0
female,group B,high school,free/reduced,none,38.0,60,50,0
male,group C,associate's degree,standard,none,58.0,54,52,0
male,group D,associate's degree,standard,none,40.0,52,43,0
female,group B,high school,standard,none,65.0,81,73,0
male,group A,some college,standard,completed,78.0,72,70,0
female,group A,master's degree,standard,none,50.0,53,58,0
female,group C,some high school,standard,none,69.0,75,78,0
male,group C,high school,standard,none,88.0,89,86,0
female,group B,some high school,free/reduced,none,27.0,32,28,1
male,group C,master's degree,free/reduced,completed,46.0,42,46,0
female,group C,associate's degree,free/reduced,none,54.0,58,61,0
male,group D,high school,standard,none,66.0,69,63,0
female,group B,some college,free/reduced,completed,65.0,75,70,0
male,group D,some college,standard,none,44.0,54,53,0
female,group C,some high school,standard,none,69.0,73,73,0
male,group D,bachelor's degree,free/reduced,completed,74.0,71,80,0
male,group A,master's degree,free/reduced,none,73.0,74,72,0
male,group B,some college,standard,none,69.0,54,55,0
female,group C,bachelor's degree,standard,none,67.0,69,75,0
male,group C,high school,standard,none,70.0,70,65,0
female,group D,master's degree,standard,none,62.0,70,75,0
female,group D,some college,standard,none,69.0,74,74,0
female,group B,some college,standard,none,63.0,65,61,0
female,group E,master's degree,free/reduced,none,56.0,72,65,0
male,group D,some college,standard,none,40.0,42,38,0
male,group E,some college,standard,none,97.0,87,82,0
male,group E,associate's degree,standard,completed,81.0,81,79,0
female,group D,associate's degree,standard,none,74.0,81,83,0
female,group D,some high school,free/reduced,none,50.0,64,59,0
female,group D,associate's degree,free/reduced,completed,75.0,90,88,0
male,group B,associate's degree,free/reduced,none,57.0,56,57,0
male,group C,associate's degree,free/reduced,none,55.0,61,54,0
female,group C,associate's degree,standard,none,58.0,73,68,0
female,group B,associate's degree,standard,none,53.0,58,65,0
male,group B,some college,free/reduced,completed,59.0,65,66,0
female,group E,associate's degree,free/reduced,none,50.0,56,54,0
male,group B,associate's degree,standard,none,65.0,54,57,0
female,group A,associate's degree,standard,completed,55.0,65,62,0
female,group C,high school,standard,none,66.0,71,76,0
female,group D,associate's degree,free/reduced,completed,57.0,74,76,0
male,group C,high school,standard,completed,82.0,84,82,0
male,group E,some college,standard,none,53.0,55,48,0
male,group E,associate's degree,free/reduced,completed,77.0,69,68,0
male,group C,some college,standard,none,53.0,44,42,0
male,group D,high school,standard,none,88.0,78,75,0
female,group C,some high school,free/reduced,completed,71.0,84,87,0
female,group C,high school,free/reduced,none,33.0,41,43,0
female,group E,associate's degree,standard,completed,82.0,85,86,0
male,group D,associate's degree,standard,none,52.0,55,49,0
male,group D,some college,standard,completed,58.0,59,58,0
female,group C,some high school,free/reduced,none,27.0,17,10,1
male,group E,bachelor's degree,free/reduced,completed,79.0,74,72,0
male,group A,some high school,free/reduced,none,39.0,39,34,0
male,group A,associate's degree,free/reduced,none,62.0,61,55,0
female,group C,associate's degree,standard,none,69.0,80,71,0
female,group D,some high school,standard,none,59.0,58,59,0
male,group B,some high school,standard,none,67.0,64,61,0
male,group D,some high school,free/reduced,none,45.0,37,37,0
female,group C,some college,standard,none,60.0,72,74,0
male,group B,associate's degree,free/reduced,none,61.0,58,56,0
female,group C,associate's degree,standard,none,39.0,64,57,0
